Abstencion2000,Abstencion2001,Abstencion2006,Abstencion2007,Abstencion2008,Abstencion2009,Abstencion2010,Abstencion2012,Abstencion2013,Abstencion2015,CENTRO_x,CENTRO_y,Codigo_Centro,Codigo_Estado,COORD_X,COORD_Y,Dirección,ESTADO,ESTRATO,gapValue2012,gapValue2015,MUNICIPIO,n,Nulos2000,Nulos2001,Nulos2006,Nulos2007,Nulos2008,Nulos2009,Nulos2010,Nulos2012,Nulos2013,Nulos2015,ObjectId,Oficialismo2000,Oficialismo2001,Oficialismo2006,Oficialismo2007,Oficialismo2008,Oficialismo2009,Oficialismo2010,Oficialismo2012,Oficialismo2013,Oficialismo2015,Otros2000,Otros2001,Otros2006,Otros2007,Otros2008,Otros2009,Otros2010,Otros2012,Otros2013,Otros2015,PARROQUIA,PPT2000,PPT2001,PPT2006,PPT2007,PPT2008,PPT2009,PPT2010,PPT2012,PPT2013,PPT2015,Registro2000,Registro2001,Registro2006,Registro2007,Registro2008,Registro2009,Registro2010,Registro2012,Registro2013,Registro2015,swingValue,Unidad2000,Unidad2001,Unidad2006,Unidad2007,Unidad2008,Unidad2009,Unidad2010,Unidad2012,Unidad2013,UNIDAD2015,Votos2000,Votos2001,Votos2006,Votos2007,Votos2008,Votos2009,Votos2010,Votos2012,Votos2013,Votos2015,win2006,Winner2006,winnerSwing,OBJECTID1
0,927,650,965,999,660,821,474,497,521,CENTRO DE ESTUDIOS DE TELECOMUNICACIONES ARTIGAS,CENTRO DE ESTUDIOS DE TELECOMUNICACIONES ARTIGAS,10122001,010108,-66.94229,10.49292,URBANIZACION ARVELO DERECHA AVENIDA SAN MARTIN. FRENTE AVENIDA SIMON BOLIVAR. IZQUIERDA CALLE ARVELO A UNA CUADRA DE LA ESTACION DEL METRO ARTIGAS EDIFICIO,Distrito Capital,4,-0.109112013929193,0.181997371879106,MP. BLVNO LIBERTADOR,26,0,111,27,32,0,49,37,43,17,60,1,0,648,1159,708,761,865,696,927,869,570,0,35,13,0,0,0,41,14,14,45,PQ. EL PARAISO,0,0,0,0,19,0,16,0,0,0,0,2158,2445,2425,2348,2339,2258,2197,2197,2043,0.291109385808299,0,437,596,720,569,765,647,739,800,847,0,1231,1795,1460,1349,1679,1437,1723,1700,1522,563,Oficialismo,Unidad,1
0,1144,546,891,1060,773,1195,617,645,728,UNIDAD EDUCATIVA TALENTO DEPORTIVO LICEO CARACAS,UNIDAD EDUCATIVA TALENTO DEPORTIVO LICEO CARACAS,10122002,010108,-66.92769,10.49236,URBANIZACION EL PARAISO IZQUIERDA AVENIDA EJERCITO. FRENTE CALLE MADARIAGA. DERECHA BULEVAR NACIONES UNIDAS A UNA CUADRA DE WENDYS EDIFICIO,Distrito Capital,2,0.0866733466933868,0.370063694267516,MP. BLVNO LIBERTADOR,31,0,152,49,16,0,43,51,30,15,68,2,0,501,909,472,577,640,509,885,804,442,0,33,6,0,0,0,60,23,10,37,PQ. EL PARAISO,0,0,0,0,9,0,22,0,0,0,0,2572,2324,2301,2491,2463,2766,2613,2613,2298,0.283390347574129,0,742,814,922,845,1007,929,1058,1139,1023,0,1428,1778,1410,1431,1690,1571,1996,1968,1570,95,Oficialismo,Unidad,2
0,1217,650,878,1015,743,853,599,664,850,LICEO ANTONIO GUZMAN BLANCO,LICEO ANTONIO GUZMÁN BLANCO,10122003,010108,-66.92339,10.49251,URBANIZACION EL PARAISO IZQUIERDA AVENIDA LOS LAURELES. FRENTE AVENIDA LOS SAMANES. DERECHA BULEVAR LOS LAURELES AL LADO DE LA GUARDIA NACIONAL CASA,Distrito Capital,2,0.0670640834575261,0.20708446866485,MP. BLVNO LIBERTADOR,14,0,115,23,15,0,37,43,27,10,78,3,0,556,870,447,553,599,488,917,801,664,0,43,3,0,0,0,50,17,11,49,PQ. EL PARAISO,0,0,0,0,13,0,27,0,0,0,0,2633,2340,2272,2394,2366,2379,2612,2612,2685,0.140020385207324,0,702,794,932,813,987,918,1052,1126,1044,0,1416,1690,1394,1379,1623,1526,2013,1948,1835,76,Oficialismo,Unidad,3
0,1556,512,718,792,505,619,951,978,1035,UNIDAD EDUCATIVA DISTRITAL CONSUELO NAVAS TOVAR,UNIDAD EDUCATIVA DISTRITAL CONSUELO NAVAS TOVAR,10122004,010108,-66.92149,10.48891,URBANIZACION PARAISO DERECHA CALLE SUPER BLOQUE. IZQUIERDA CALLE CIEGA. FRENTE CALLE LOYOLA AL LADO DE LA CL+ìNICA DE LA GUARDIA NACIONAL. EDIFICIO,Distrito Capital,4,-0.175879396984925,0.00495867768595041,MP. BLVNO LIBERTADOR,38,0,102,29,20,0,53,23,75,15,116,4,0,724,768,496,513,641,523,1128,1061,823,0,32,5,0,0,0,38,9,7,44,PQ. EL PARAISO,0,0,0,0,11,0,10,0,0,0,0,2899,1769,1782,1765,1756,1736,2941,2941,2850,0.180838074670875,0,485,455,548,449,557,523,778,880,832,0,1343,1257,1064,973,1251,1117,1990,1963,1815,313,Oficialismo,Unidad,4
0,1904,867,1254,1579,995,1266,854,907,1435,UNIDAD EDUCATIVA COLEGIO SAN JOSE DE TARBES,UNIDAD EDUCATIVA COLEGIO SAN JOSÉ DE TARBES,10122005,010108,-66.92753,10.49007,URBANIZACION EL PARAISO DERECHA AVENIDA PAEZ. IZQUIERDA AVENIDA PAEZ. FRENTE AVENIDA EL EJERCITO FRENTE A LA AVENIDA P+üEZ DEL PARA+ìSO DIAGONAL A LA PLAZA P+üEZ FRENTE AL RESTAURANT TIERRA MAR QUINTA,Distrito Capital,1,0.598783509799504,0.677821201758671,MP. BLVNO LIBERTADOR,29,0,137,44,33,0,61,72,32,11,118,5,0,674,1053,671,724,782,676,867,797,569,0,108,8,0,0,0,123,15,16,63,PQ. EL PARAISO,0,0,0,0,22,0,50,0,0,0,0,5480,4456,4542,4933,4810,5211,5293,5293,5529,0.079037691959167,0,2657,2484,2583,2608,2972,3024,3525,3562,3344,0,3576,3589,3288,3354,3815,3945,4439,4386,4094,-1431,Unidad,Unidad,5
0,307,129,193,238,151,201,151,155,235,UNIDAD EDUCATIVA COLEGIO TERESIANO NUESTRA SEÑORA DE COROMOTO,UNIDAD EDUCATIVA COLEGIO TERESIANO NUESTRA SEÑORA DE COROMOTO,10122006,010108,-66.92423,10.48826,URBANIZACION EL PARAISO DERECHA AVENIDA SAN JUAN. FRENTE AVENIDA PAEZ. IZQUIERDA CALLE LOS LAURELES AL LADO DE LA UNIVERSIDAD SANTA MARIA QUINTA,Distrito Capital,1,0.53625,0.638107416879795,MP. BLVNO LIBERTADOR,15,0,28,5,2,0,5,11,11,2,15,6,0,144,193,120,133,170,164,179,168,127,0,13,1,0,0,0,23,2,4,14,PQ. EL PARAISO,0,0,0,0,6,0,10,0,0,0,0,980,727,736,803,790,909,951,951,1017,0.101857416879795,0,488,399,421,426,464,500,608,622,626,0,673,598,543,565,639,708,800,796,782,-206,Unidad,Unidad,6
0,547,416,590,596,457,477,332,345,439,COLEGIO CIUDAD MARIANA DE CARACAS,COLEGIO CIUDAD MARIANA DE CARACAS,10122007,010108,-66.92866,10.48854,URBANIZACION EL PARAISO DERECHA CALLE PINOS. IZQUIERDA CALLE LOS PINOS. FRENTE CALLE LOS PINOS QUINTA CINTRIA DETRAS DEL COLEGIO SAN JOSE DE TARBES QUINTA,Distrito Capital,1,0.634664401019541,0.704365079365079,MP. BLVNO LIBERTADOR,16,0,48,10,8,0,19,16,10,4,29,7,0,183,373,218,240,249,194,209,197,131,0,21,2,0,0,0,38,2,8,7,PQ. EL PARAISO,0,0,0,0,10,0,11,0,0,0,0,1530,1808,1785,1730,1703,1618,1509,1509,1447,0.0697006783455379,0,731,1007,968,884,978,882,956,955,841,0,983,1392,1195,1134,1246,1141,1177,1164,1008,-634,Unidad,Unidad,7
0,2065,829,1282,1476,956,1217,920,1030,1366,UNIVERSIDAD SANTA MARIA EL PARAISO,UNIVERSIDAD SANTA MARIA EL PARAÍSO,10122008,010108,-66.92385,10.48971,URBANIZACION EL PARAISO DERECHA AVENIDA PAEZ. FRENTE AVENIDA PAEZ. IZQUIERDA CALLE LOS LAURELES FRENTE A LA AVENIDA P+üEZ DEL PARA+ìSO FRENTE A LA PLAZA MADARIAGA EDIFICIO,Distrito Capital,1,0.305608820709492,0.529378531073446,MP. BLVNO LIBERTADOR,53,0,240,30,21,0,47,61,58,23,138,8,0,866,1180,689,774,846,730,1408,1224,722,0,69,15,0,0,0,100,23,11,84,PQ. EL PARAISO,0,0,0,0,23,0,29,0,0,0,0,5174,4245,4277,4382,4312,4437,5092,5092,4906,0.223769710363954,0,1934,2191,2284,2109,2463,2300,2683,2804,2596,0,3109,3416,2995,2906,3356,3220,4172,4062,3540,-1011,Unidad,Unidad,8
0,130,58,110,137,97,114,64,68,85,ASOCIACION CIVIL UNION OBSERVATORIO,ASOCIACIÓN CIVIL UNIÓN OBSERVATORIO,10111032,010122,-66.93353,10.50274,SECTOR EL CAÐON DEL BARRIO EL OBSRVATORIO FRENTE CALLE LA LIBERTAD. DERECHA PROLONGACION CALLE LA LIBERTAD SENTIDO SECTOR ANDRES ELOY BLANCO. IZQUIERDA PROLONGACION CALLE LA LIBERTAD AL LADO DE LA FAMILIA SOCORRO CASA,Distrito Capital,7,-0.560606060606061,-0.193832599118943,MP. BLVNO LIBERTADOR,3,0,8,7,13,0,2,6,7,1,13,9,0,149,193,124,158,181,149,202,195,126,0,5,1,0,0,0,5,1,0,6,PQ. 23 DE ENERO,0,0,0,0,0,0,5,0,0,0,0,321,277,282,325,323,324,328,328,312,0.366773461487118,0,29,18,35,30,43,45,54,64,82,0,191,219,172,188,226,210,264,260,227,175,Oficialismo,Unidad,9
0,818,400,563,664,416,523,386,410,599,UNIDAD EDUCATIVA COLEGIO MIGUEL ANGEL,UNIDAD EDUCATIVA COLEGIO MIGUEL ÁNGEL,10122009,010108,-66.92466,10.4943,URBANIZACION EL PARAISO IZQUIERDA AVENIDA PRINCIPAL. FRENTE AVENIDA LOS SAMANES. DERECHA CALLE EL EJERCITO A MEDIA CUADRA DE LA CL+ìNICA POPULAR DEL PARA+ìSO EDIFICIO,Distrito Capital,1,0.481345002303086,0.583624563155267,MP. BLVNO LIBERTADOR,32,0,117,18,11,0,28,28,28,8,82,10,0,407,497,314,373,416,393,543,503,365,0,38,4,0,0,0,64,12,9,22,PQ. EL PARAISO,0,0,0,0,14,0,17,0,0,0,0,2608,2183,2201,2335,2298,2448,2557,2557,2602,0.102279560852181,0,1228,1264,1313,1284,1438,1423,1588,1627,1534,0,1790,1783,1638,1671,1882,1925,2171,2147,2003,-767,Unidad,Unidad,10
