Pais,Año,PBI
Japón,2007,31656.06806
"Hong Kong, China",2007,39724.97867
Japón,2002,28604.5919
Islandia,2007,36180.78919
Suiza,2007,37506.41907
"Hong Kong, China",2002,30209.01516
Australia,2007,34435.36744
España,2007,28821.0637
Suecia,2007,33859.74835
Israel,2007,25523.2771
Japón,1997,28816.58499
Francia,2007,30470.0167
Canadá,2007,36319.23501
Suiza,2002,34480.95771
Italia,2007,28569.7197
Islandia,2002,31163.20196
Australia,2002,30687.75473
Italia,2002,27968.09817
Nueva Zelanda,2007,25185.00911
Noruega,2007,49357.19017
Suecia,2002,29341.63093
"Hong Kong, China",1997,28377.63219
Singapur,2007,47143.17964
Austria,2007,36126.4927
España,2002,24835.47166
Canadá,2002,33328.96507
Países Bajos,2007,36797.93332
Israel,2002,21905.59514
Francia,2002,28926.03234
Grecia,2007,27538.41188
Bélgica,2007,33692.60508
Reino Unido,2007,33203.26128
Alemania,2007,32170.37442
Suecia,1997,25266.59499
Suiza,1997,32135.32301
Japón,1992,26824.89511
Finlandia,2007,33207.0844
Nueva Zelanda,2002,23189.80135
Noruega,2002,44683.97525
Austria,2002,32417.60769
Islandia,1997,28061.09966
Irlanda,2007,40675.99635
Australia,1997,26997.93657
Italia,1997,24675.02446
Costa Rica,2007,9645.06142
Singapur,2002,36023.1054
Islandia,1992,25144.39201
España,1997,20445.29896
Puerto Rico,2007,19328.70901
Alemania,2002,30035.80198
Japón,1987,22375.94189
Francia,1997,25889.78487
"Corea, Rep.",2007,23348.13973
Canadá,1997,28954.92589
Chile,2007,13171.63885
Países Bajos,2002,33724.75778
Reino Unido,2002,29478.99919
"Taiwán, China",2007,28718.27684
Finlandia,2002,28204.59057
Dinamarca,2007,35278.41874
Bélgica,2002,30485.88375
Noruega,1997,41283.16433
Cuba,2007,8948.102923
Israel,1997,20896.60924
Grecia,2002,22514.2548
Estados Unidos,2007,42951.65309
Suecia,1992,23880.01683
Costa Rica,2002,7723.447195
Portugal,2007,20509.64777
Países Bajos,1997,30246.13063
Suiza,1992,31871.5303
Canadá,1992,26342.88426
Eslovenia,2007,25768.25759
Grecia,1997,18747.69814
Chile,2002,10778.78385
Irlanda,2002,34077.04939
Puerto Rico,2002,18855.60618
"Hong Kong, China",1992,24757.60301
Kuwait,2007,47306.98978
España,1992,18603.06452
Australia,1992,23424.76683
Nueva Zelanda,1997,21050.41377
Bélgica,1997,27561.19663
Austria,1997,29095.92066
Francia,1992,24703.79615
Italia,1992,22013.64486
Países Bajos,1992,26790.94961
Suiza,1987,30281.70459
Alemania,1997,27788.88416
Noruega,1992,33965.66115
Estados Unidos,2002,39097.09955
Portugal,2002,19970.90787
Costa Rica,1997,6677.045314
Islandia,1987,26923.20628
Reino Unido,1997,26074.53136
Suecia,1987,23586.92927
Dinamarca,2002,32166.50006
Cuba,2002,6340.646683
Singapur,1997,33519.4766
Finlandia,1997,23723.9502
Japón,1982,19384.10571
"Corea, Rep.",2002,19233.98818
Grecia,1992,17541.49634
Islandia,1982,23269.6075
"Taiwán, China",2002,23235.42329
Israel,1992,18051.52254
Kuwait,2002,35110.10566
España,1987,15764.98313
Canadá,1987,26626.51503
Países Bajos,1987,23651.32361
Estados Unidos,1997,35767.43303
Grecia,1987,16120.52839
Eslovenia,2002,20660.01936
República Checa,2007,22833.30851
Bélgica,1992,25575.57069
Reunión,2007,7670.122558
Albania,2007,5937.029526
Italia,1987,19207.23482
Suecia,1982,20667.38125
Reino Unido,1992,22705.09254
Uruguay,2007,10611.46299
Francia,1987,22066.44214
Nueva Zelanda,1992,18363.32494
Australia,1987,21888.88903
España,1982,13926.16997
Suiza,1982,28397.71512
"Hong Kong, China",1987,20038.47269
México,2007,11977.57496
Kuwait,1997,40300.61996
Cuba,1997,5431.990415
Irlanda,1997,24521.94713
Islandia,1977,19654.96247
Dinamarca,1997,29804.34567
Estados Unidos,1992,32003.93224
Alemania,1992,26505.30317
Países Bajos,1982,21399.46046
Austria,1992,27042.01868
Portugal,1997,17641.03156
Noruega,1982,26298.63531
Noruega,1987,31540.9748
Chile,1997,10118.05318
Singapur,1992,24769.8912
Canadá,1982,22898.79214
Croacia,2007,14619.22272
Reunión,2002,6316.1652
Costa Rica,1992,6160.416317
Finlandia,1992,20647.16499
Albania,2002,4604.211737
Omán,2007,22316.19287
Baréin,2007,29796.04834
Israel,1987,17122.47986
Polonia,2007,15389.92468
Panamá,2007,9809.185636
República Checa,2002,17596.21022
Irlanda,1992,17558.81555
"Hong Kong, China",1982,14560.53051
Montenegro,1997,6465.613349
Suecia,1977,18855.72521
Montenegro,1992,7003.339037
Suiza,1977,26982.29052
Japón,1977,16610.37701
Noruega,1977,23311.34939
Bélgica,1987,22525.56308
Dinamarca,1992,26406.73985
Argentina,2007,12779.37964
Uruguay,2002,7727.002004
"Taiwán, China",1997,20206.82098
Grecia,1982,15268.42089
Países Bajos,1977,21209.0592
Kuwait,1992,34932.91959
Eslovenia,1997,17161.10735
Estados Unidos,1987,29884.35041
Reino Unido,1987,21664.78767
Ecuador,2007,6873.262326
Italia,1982,16537.4835
Austria,1987,23687.82607
Puerto Rico,1997,16999.4333
México,2002,10742.44053
Francia,1982,20293.89746
Croacia,2002,11628.38895
Montenegro,1987,11732.51017
Portugal,1992,16207.26663
Bosnia y Herzegovina,2007,7446.298803
Alemania,1987,24639.18566
Finlandia,1987,21141.01223
Dinamarca,1987,25116.17581
Baréin,2002,23403.55927
Reunión,1997,6071.941411
Costa Rica,1987,5629.915318
Australia,1982,19477.00928
Suecia,1972,17832.02464
Panamá,2002,7356.031934
Dinamarca,1977,20422.9015
Polonia,2002,12002.23908
Eslovaquia,2007,18678.31435
Estados Unidos,1982,25009.55914
"Corea, Rep.",1997,15993.52796
Dinamarca,1982,21688.04048
Puerto Rico,1987,12281.34191
Finlandia,1982,18533.15761
Montenegro,2007,9253.896111
Islandia,1972,15798.06362
Israel,1982,15367.0292
Cuba,1992,5592.843963
España,1977,13236.92117
Irlanda,1987,13872.86652
Argentina,2002,8797.640716
Noruega,1972,18965.05551
Nueva Zelanda,1987,19007.19129
"Taiwán, China",1992,15215.6579
Vietnam,2007,2441.576404
Malasia,2007,12451.6558
Uruguay,1997,9230.240708
Canadá,1977,22090.88306
Omán,2002,19774.83687
Cuba,1987,7532.924763
Kuwait,1987,28118.42998
Ecuador,2002,5773.044512
Suecia,1967,15258.29697
Siria,2007,4184.548089
Chile,1992,7596.125964
Montenegro,1982,11222.58762
Bosnia y Herzegovina,2002,6018.975239
Noruega,1967,16361.87647
Portugal,1987,13039.30876
Reino Unido,1982,18232.42452
República Checa,1997,16048.51424
Serbia,2007,9786.534714
Montenegro,2002,6557.194282
Libia,2007,12057.49928
Bélgica,1982,20979.84589
Baréin,1997,20292.01679
Túnez,2007,7092.923025
Puerto Rico,1992,14641.58711
Nueva Zelanda,1982,17632.4104
Francia,1977,18292.63514
Países Bajos,1967,15363.25136
Alemania,1982,22031.53274
Eslovaquia,2002,13638.77837
Suiza,1972,27195.11304
Puerto Rico,1982,10330.98915
Países Bajos,1972,18794.74567
Venezuela,2007,11415.80569
Panamá,1997,7113.692252
Islandia,1967,13319.89568
Cuba,1982,7316.918107
Croacia,1997,9875.604515
Grecia,1977,14195.52428
Islandia,1962,10350.15906
México,1997,9767.29753
Eslovenia,1992,14214.71681
Reunión,1992,6101.255823
"Hong Kong, China",1977,11186.14125
Singapur,1987,18861.53081
Australia,1977,18334.19751
Italia,1977,14255.98475
Islandia,1957,9244.001412
Noruega,1962,13450.40151
Dinamarca,1972,18866.20721
Costa Rica,1982,5262.734751
Puerto Rico,1977,9770.524921
Noruega,1957,11653.97304
Territorios Palestinos,2007,3025.349798
Japón,1972,14778.78636
"Taiwán, China",1987,11054.56175
Estados Unidos,1977,24072.63213
Suecia,1962,12329.44192
Hungría,2007,18008.94444
Argentina,1997,10967.28195
