edad	sexo	nrodepen	fonopart	fonolab	autovaluo	esaval	tieneaval	antiguedad	tiporenta	dpto	morosidad
44	2	3	2	2	1	1	1	63	2	1	1
77	2	4	2	2	1	1	2	62	2	1	2
59	2	5	1	1	1	2	1	59	2	1	2
35	2	5	1	2	1	1	1	58	2	1	2
65	2	0	2	1	1	2	1	56	2	1	1
66	1	1	2	2	2	2	2	54	2	1	1
73	1	5	2	1	1	1	1	53	2	1	2
73	2	0	1	1	1	2	2	53	2	1	1
74	2	0	2	1	1	2	1	53	2	1	1
75	2	1	1	1	1	1	1	53	2	1	2
52	1	0	2	1	1	1	1	52	3	1	1
76	1	0	2	2	2	1	2	52	2	1	1
60	2	0	2	2	2	2	1	51	2	1	1
61	2	0	2	1	1	1	1	51	2	1	1
69	1	0	2	2	1	2	2	51	2	1	1
72	2	5	2	1	1	1	1	51	2	1	2
73	2	4	1	2	1	1	1	51	2	1	2
73	2	0	2	2	1	1	1	51	2	1	1
68	2	1	2	1	2	2	1	50	2	1	1
73	2	1	1	2	1	1	2	50	2	1	1
76	1	0	1	2	1	2	1	50	2	1	1
61	2	0	1	1	1	1	1	49	2	1	1
61	2	0	2	2	1	2	1	49	2	1	1
74	2	0	1	1	1	1	1	49	2	1	1
75	2	1	2	1	1	2	2	49	2	1	1
68	2	3	1	2	1	2	1	48	2	1	1
69	2	3	2	2	1	2	2	48	2	1	1
69	1	1	2	1	1	1	2	48	2	1	1
61	2	1	2	1	1	1	1	47	2	1	1
66	2	0	2	2	1	2	1	47	2	1	1
64	2	4	2	2	1	2	1	46	2	1	2
66	2	0	1	1	1	1	1	46	2	1	1
66	2	0	1	1	1	2	1	46	2	1	1
68	2	1	2	2	2	2	2	46	2	1	1
65	2	5	1	2	1	1	1	45	2	1	2
67	2	2	1	1	2	2	1	45	2	1	1
65	1	0	1	2	1	1	1	44	2	1	1
57	1	5	1	1	1	1	1	43	2	1	2
61	2	0	1	1	1	1	1	43	2	1	1
61	2	0	2	1	2	1	2	43	3	1	1
66	2	2	1	1	1	1	2	43	2	1	1
67	2	0	1	1	1	1	1	43	2	1	1
74	2	1	1	2	1	2	1	43	2	1	2
75	2	0	1	2	1	1	1	43	2	1	1
60	2	5	1	2	1	1	1	42	2	1	2
61	2	0	2	2	1	2	1	42	2	1	1
63	1	0	1	1	1	1	1	42	3	1	1
67	1	5	1	1	1	1	1	42	2	1	2
59	2	3	1	1	1	2	2	41	2	1	1
60	1	0	2	2	1	1	2	41	2	1	1
62	2	2	1	2	1	1	1	41	2	1	1
65	2	1	1	1	1	1	2	41	3	1	1
65	2	0	2	1	1	2	1	41	2	1	1
66	1	2	1	1	1	2	1	41	2	1	1
66	2	0	2	2	1	2	1	41	2	1	1
69	2	2	1	1	1	1	1	41	2	1	1
58	2	1	1	2	1	2	2	40	2	1	2
59	2	2	2	2	1	1	1	40	2	1	1
59	1	0	2	2	1	2	2	40	2	1	1
63	2	1	2	2	1	2	2	40	2	1	1
67	2	0	2	2	1	1	1	40	2	1	1
69	2	4	1	2	1	1	1	40	2	1	2
75	2	0	1	2	1	1	1	40	2	1	1
76	2	2	2	1	1	2	1	40	2	1	2
42	1	5	1	2	1	1	1	39	2	1	2
55	1	1	1	2	1	1	2	39	2	1	1
58	1	0	2	2	1	2	1	39	2	1	1
59	2	1	1	1	1	1	1	39	2	1	2
59	2	0	2	2	1	1	1	39	2	1	1
60	2	1	2	2	1	2	1	39	2	1	1
62	2	4	2	2	1	2	2	39	2	1	2
66	2	1	2	2	1	1	1	39	2	1	2
74	2	0	2	2	1	1	1	39	2	1	1
51	2	4	1	2	1	1	2	38	2	1	2
57	1	1	2	2	1	2	2	38	2	1	1
58	1	5	1	2	1	1	1	38	2	1	2
58	1	4	2	2	1	1	2	38	2	1	2
58	2	0	2	2	1	1	1	38	2	1	1
59	2	5	2	2	1	1	2	38	2	1	2
60	2	2	1	1	1	1	1	38	2	1	1
60	2	2	1	2	1	1	1	38	2	1	1
60	1	0	1	2	1	2	1	38	2	1	1
61	2	3	1	1	2	2	2	38	2	1	1
61	2	1	2	2	1	2	2	38	2	1	1
61	2	0	2	2	1	1	1	38	2	1	1
62	2	1	1	2	2	1	2	38	2	1	1
65	2	0	1	1	1	1	1	38	2	1	1
