id_anio,cod_mod,id_nivel,dsc_grado,id_grado,id_seccion,arte,ciencia_tecnologia_y_ambiente,comunicacion,educacion_fisica,educacion_para_el_trabajo,educacion_religiosa,formacion_ciudadana_y_civica,hisotoria_geografia_y_economia,ingles,matematica,persona_familia_y_rrhh
2015,2212,F0,QUINTO,14,1,17,16,16,15,14,15,14,16,16,13,15
2015,2212,F0,CUARTO,13,1,12,13,16,14,14,13,14,13,16,13,14
2015,2212,F0,SEGUNDO,11,1,17,13,11,13,16,13,12,13,14,12,13
2015,2212,F0,SEGUNDO,11,1,14,16,13,13,13,14,13,14,13,13,13
2015,2212,F0,PRIMERO,10,1,15,12,11,13,13,16,13,14,13,12,12
2015,2212,F0,SEGUNDO,11,1,14,13,10,13,13,13,12,13,13,11,13
2015,2212,F0,TERCERO,12,1,15,16,18,14,15,15,13,16,17,16,16
2015,2212,F0,SEGUNDO,11,1,13,14,10,14,13,14,13,13,13,13,12
2015,2212,F0,QUINTO,14,1,17,16,18,15,15,16,14,17,18,15,16
2015,2212,F0,SEGUNDO,11,1,13,11,11,14,13,13,13,12,12,10,13
2015,2212,F0,TERCERO,12,1,14,14,16,15,14,14,13,13,15,13,14
2015,2212,F0,SEGUNDO,11,1,13,15,13,13,13,13,12,13,12,12,13
2015,2212,F0,TERCERO,12,1,15,13,16,14,14,14,13,15,15,12,15
2015,2212,F0,TERCERO,12,1,13,11,12,13,12,11,12,12,12,09,12
2015,2212,F0,QUINTO,14,1,15,13,16,15,14,14,14,15,16,12,15
2015,2212,F0,QUINTO,14,1,12,11,14,12,11,13,12,12,14,11,13
2015,2212,F0,QUINTO,14,1,13,13,17,14,13,13,13,14,17,12,12
2015,2212,F0,CUARTO,13,1,13,13,16,13,11,13,13,13,17,12,15
2015,2212,F0,QUINTO,14,1,14,12,14,14,14,14,13,15,14,11,15
2015,2212,F0,PRIMERO,10,1,13,12,12,14,12,14,12,13,12,13,13
2015,2212,F0,QUINTO,14,1,16,11,14,15,12,14,13,13,14,12,14
2015,2212,F0,PRIMERO,10,1,16,15,16,13,14,15,12,16,15,17,13
2015,2212,F0,PRIMERO,10,1,14,13,12,13,13,15,13,13,13,12,13
2015,2212,F0,PRIMERO,10,1,19,16,17,13,16,17,14,16,16,18,14
2015,2212,F0,PRIMERO,10,1,14,12,11,14,13,13,12,12,12,09,12
2015,2212,F0,SEGUNDO,11,1,13,11,10,13,12,11,11,12,12,11,12
2015,2212,F0,CUARTO,13,1,14,15,17,15,14,14,13,15,16,14,16
2015,2212,F0,TERCERO,12,1,14,14,16,13,14,14,12,14,14,12,14
2015,2212,F0,SEGUNDO,11,1,18,18,18,13,17,17,12,17,16,18,17
2015,2212,F0,SEGUNDO,11,1,14,15,15,14,14,13,13,15,13,15,15
2015,2212,F0,PRIMERO,10,1,15,13,11,13,13,14,12,12,13,09,13
2015,2212,F0,QUINTO,14,1,15,14,17,15,13,15,16,14,17,13,15
2015,2212,F0,CUARTO,13,1,12,11,10,12,11,13,12,12,15,10,13
2015,2212,F0,QUINTO,14,1,14,14,16,15,12,14,14,14,16,13,14
2015,2212,F0,TERCERO,12,1,12,11,11,11,12,12,11,12,13,08,12
2015,2212,F0,SEGUNDO,11,1,17,15,15,14,16,15,12,14,15,16,14
2015,2212,F0,PRIMERO,10,1,12,11,10,12,13,12,11,12,12,11,11
2015,2212,F0,PRIMERO,10,1,15,11,10,13,14,13,11,11,13,09,12
2015,2212,F0,SEGUNDO,11,1,13,12,11,14,13,14,12,13,12,10,15
2015,2212,F0,PRIMERO,10,1,13,12,11,12,12,13,11,12,13,11,12
2015,2212,F0,CUARTO,13,1,14,14,16,15,15,15,14,15,16,14,16
2015,2212,F0,QUINTO,14,1,18,16,17,16,17,16,15,17,17,14,17
2015,2212,F0,SEGUNDO,11,1,14,14,12,13,13,13,12,14,13,12,13
2015,2212,F0,SEGUNDO,11,1,12,12,11,12,12,11,11,12,11,10,11
2015,2212,F0,CUARTO,13,1,13,12,14,15,13,13,13,14,16,11,14
2015,2212,F0,SEGUNDO,11,1,13,13,12,13,13,13,12,13,12,14,14
2015,2212,F0,CUARTO,13,1,13,12,15,13,13,13,13,13,17,13,15
2015,2212,F0,PRIMERO,10,1,13,11,11,13,13,15,13,12,12,11,12
2015,2212,F0,SEGUNDO,11,1,14,15,13,14,14,14,13,14,13,13,13
2015,2212,F0,PRIMERO,10,1,16,14,15,13,15,15,12,15,15,14,13
2015,2212,F0,PRIMERO,10,1,13,13,12,13,13,13,12,13,12,11,12
2015,2212,F0,TERCERO,12,1,13,11,12,13,14,12,12,13,13,10,14
2015,2212,F0,PRIMERO,10,1,15,13,13,13,13,14,13,12,13,13,13
2015,2212,F0,SEGUNDO,11,1,13,12,14,13,13,14,12,13,13,11,13
2015,2212,F0,TERCERO,12,1,15,13,14,14,14,14,12,13,13,11,15
2015,2212,F0,TERCERO,12,1,17,17,17,14,17,17,15,17,15,16,17
2015,2212,F0,QUINTO,14,1,14,15,15,15,12,14,14,14,15,13,14
2015,2212,F0,TERCERO,12,1,12,11,12,13,13,12,11,13,13,08,13
2015,2212,F0,SEGUNDO,11,1,15,15,15,14,15,14,13,15,14,15,14
2015,2212,F0,PRIMERO,10,1,13,13,10,13,12,14,12,12,12,11,12
2015,2212,F0,SEGUNDO,11,1,13,11,11,13,13,13,11,12,13,10,12
2015,2212,F0,PRIMERO,10,1,14,13,13,12,13,15,12,15,13,13,12
2015,2212,F0,TERCERO,12,1,13,12,16,14,13,13,13,12,14,11,12
2015,2212,F0,PRIMERO,10,1,15,12,14,13,13,14,12,12,13,11,13
2015,2212,F0,SEGUNDO,11,1,14,13,11,14,13,14,12,12,13,10,14
2015,2212,F0,TERCERO,12,1,12,13,15,13,13,14,11,13,15,11,13
2015,2212,F0,TERCERO,12,1,13,13,14,15,13,15,13,14,15,11,14
2015,2212,F0,SEGUNDO,11,1,17,15,15,14,16,15,13,15,15,16,14
2015,2212,F0,PRIMERO,10,1,16,15,14,14,15,16,14,15,14,15,14
2015,2212,F0,CUARTO,13,1,11,13,12,11,14,12,12,12,15,11,12
2015,2212,F0,PRIMERO,10,1,14,12,11,12,13,14,11,12,13,10,12
2015,2212,F0,TERCERO,12,1,13,14,17,13,14,15,13,15,14,12,16
2015,2212,F0,TERCERO,12,1,15,15,17,13,15,15,13,15,16,13,16
