name,province,department,ubi12,mEE_DR_13_1980_pcSupM_adj,totalevents
Trinidad,Contumaza,Cajamarca,0,1,
Chachapoyas,Chachapoyas,Amazonas,10101,0.17586587,0
Asuncion,Chachapoyas,Amazonas,10102,0,0
Balsas,Chachapoyas,Amazonas,10103,0.018117059,0
Cheto,Chachapoyas,Amazonas,10104,0,0
Chiliquin,Chachapoyas,Amazonas,10105,0.000185088,0
Chuquibamba,Chachapoyas,Amazonas,10106,0,0
Granada,Chachapoyas,Amazonas,10107,0,0
Huancas,Chachapoyas,Amazonas,10108,0,0
La Jalca,Chachapoyas,Amazonas,10109,0,0
Leimebamba,Chachapoyas,Amazonas,10110,0,0
Levanto,Chachapoyas,Amazonas,10111,0.30622181,0
Magdalena,Chachapoyas,Amazonas,10112,0.080215916,0
Mariscal Castilla,Chachapoyas,Amazonas,10113,0,0
Molinopampa,Chachapoyas,Amazonas,10114,0,0
Montevideo,Chachapoyas,Amazonas,10115,0,0
Olleros,Chachapoyas,Amazonas,10116,0,0
Quinjalca,Chachapoyas,Amazonas,10117,0,0
San Francisco de Daguas,Chachapoyas,Amazonas,10118,0.041383907,0
San Isidro de Maino,Chachapoyas,Amazonas,10119,0.009062999,0
Soloco,Chachapoyas,Amazonas,10120,0,0
Sonche,Chachapoyas,Amazonas,10121,0.15770586,0
Aramanco,Bagua,Amazonas,10202,0,0
Copallin,Bagua,Amazonas,10203,0,0
El Parco,Bagua,Amazonas,10204,0.054676194,2
La Peca Bagua,Bagua,Amazonas,10206,0.054676194,2
Jumbilla,Bongara,Amazonas,10301,0,1
Chisquilla,Bongara,Amazonas,10302,0,0
Churuja,Bongara,Amazonas,10303,0,0
Corosha,Bongara,Amazonas,10304,0,0
Cuispes,Bongara,Amazonas,10305,0.003485789,0
Florida,Bongara,Amazonas,10306,0,0
Recta,Bongara,Amazonas,10308,0,0
San Carlos,Bongara,Amazonas,10309,0.003485789,0
Shipasbamba,Bongara,Amazonas,10310,0.003485789,0
Valera,Bongara,Amazonas,10311,0,0
Yambrasbamba,Bongara,Amazonas,10312,0.007749027,1
El Cenepa,Bagua,Amazonas,10402,0.007749027,1
Lamud,Luya,Amazonas,10501,0.034027614,0
Camporredondo,Luya,Amazonas,10502,0,1
Cocabamba,Luya,Amazonas,10503,0.03373732,0
Colcamar,Luya,Amazonas,10504,0.25685227,0
Conila,Luya,Amazonas,10505,0,0
